NOC,Sport,Medal_Increase_With_Coach
GBR,Polo,9.38854327215805
GBR,Racquets,9.38854327215805
GBR,Rowing,5.017947817192236
GBR,Rugby,8.732953953913176
GBR,Sailing,3.2697096352059116
GBR,Swimming,3.7067691807024925
GBR,Tennis,3.7067691807024925
GBR,Tug-Of-War,6.766185999178562
GBR,Water Polo,10.481192135899501
GER,Athletics,3.925298953450782
GER,Cycling,4.799418044443945
GER,Diving,10.481192135899501
GER,Fencing,6.11059668093369
GER,Figure Skating,11.355311226892665
GER,Gymnastics,9.60707304490634
GER,Hockey,9.60707304490634
GER,Rowing,11.355311226892665
GER,Shooting,11.792370772389246
GER,Swimming,10.918251681396082
GER,Tennis,10.04413259040292
GER,Wrestling,11.792370772389246
GRE,Athletics,6.766185999178561
GRE,Cycling,11.573840999640955
GRE,Shooting,6.984715771926853
HUN,Athletics,2.6141203169610385
HUN,Fencing,8.514424181164886
HUN,Gymnastics,10.699721908647792
HUN,Rowing,9.60707304490634
HUN,Shooting,11.573840999640955
HUN,Swimming,8.514424181164886
HUN,Tennis,10.918251681396082
HUN,Wrestling,10.262662363151211
ISL,Wrestling,11.792370772389246
ITA,Athletics,7.203245544675142
ITA,Cycling,10.04413259040292
ITA,Diving,11.792370772389246
ITA,Fencing,6.54765622643027
ITA,Gymnastics,5.017947817192236
ITA,Rowing,11.792370772389246
ITA,Swimming,10.699721908647792
ITA,Wrestling,11.792370772389246
NED,Athletics,0.42882258947813234
NED,Cycling,6.547656226430271
NED,Fencing,6.11059668093369
NED,Football,9.38854327215805
NED,Gymnastics,3.488239407954201
NED,Rowing,11.136781454144375
NED,Shooting,5.236477589940527
NED,Swimming,10.481192135899501
NED,Tennis,11.136781454144375
NED,Water Polo,10.481192135899501
NED,Wrestling,10.04413259040292
NOR,Athletics,7.203245544675142
NOR,Fencing,11.792370772389246
NOR,Gymnastics,3.7067691807024925
NOR,Rowing,10.04413259040292
NOR,Sailing,10.918251681396082
NOR,Shooting,6.11059668093369
NOR,Wrestling,11.792370772389246
RSA,Athletics,10.04413259040292
RSA,Cycling,8.295894408416594
RSA,Fencing,11.573840999640957
RSA,Tennis,10.918251681396082
RUS,Athletics,11.792370772389246
RUS,Figure Skating,11.573840999640957
RUS,Wrestling,11.136781454144375
SUI,Athletics,11.792370772389246
SWE,Cycling,10.262662363151211
SWE,Diving,9.38854327215805
